Name,X,Y,Z
Ponto de Força Saida de Fio,0.534999967,3.19406939,0.0
Ponto de Força Saida de Fio,4.11,6.765946,0.0
a.Simples,1.34618628,4.29406929,0.0
a.Simples,2.42373013,0.164061591,0.0
a.Simples,3.61406159,2.28833723,0.0
No host family,6.67991447,4.881626,0.0
No host family,6.67991447,2.84344578,0.0
No host family,4.75127268,2.33945942,0.0
No host family,4.736437,4.07376575,0.0
No host family,3.03774858,3.57719064,0.0
No host family,2.034083,5.65616465,0.0
No host family,1.25836718,3.57689834,0.0
No host family,1.66688049,1.57611728,0.0
No host family,5.68744135,0.712342262,0.0
No host family,4.666589,5.85817575,0.0
Exaustor de Ar Ventokit,3.78554058,5.79391861,-0.0020909158
Exaustor de Ar Ventokit,1.07874334,3.921159,-0.0020909158
